[GC (Allocation Failure) [DefNew: 13129K->1600K(14784K), 0.0039379 secs] 13129K->1834K(47552K), 0.0039679 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
[Full GC (Metadata GC Threshold) [Tenured: 10150K->10706K(32768K), 0.0725482 secs] 15135K->10706K(47552K), [Metaspace: 20153K->20153K(1067008K)], 0.0726089 secs] [Times: user=0.06 sys=0.00, real=0.08 secs] 
[GC (Allocation Failure) [DefNew: 13248K->543K(14848K), 0.0026352 secs] 23954K->11250K(47616K), 0.0026617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13791K->1321K(14848K), 0.0068846 secs] 24498K->12028K(47616K), 0.0069185 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14569K->189K(14848K), 0.0032855 secs] 25276K->11703K(47616K), 0.0033121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13437K->666K(14848K), 0.0024418 secs] 24951K->12181K(47616K), 0.0024711 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13914K->896K(14848K), 0.0023563 secs] 25429K->12411K(47616K), 0.0023825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14144K->1168K(14848K), 0.0038033 secs] 25659K->12855K(47616K), 0.0038311 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14416K->1379K(14848K), 0.0649199 secs] 26103K->13441K(47616K), 0.0649501 secs] [Times: user=0.02 sys=0.00, real=0.07 secs] 
[GC (Allocation Failure) [DefNew: 14627K->910K(14848K), 0.0053000 secs] 26689K->14343K(47616K), 0.0053309 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
  _____  _____            _____          _____  ______ __  __ _____ _____            _____ _____ 
 / ____|/ ____|     /\   / ____|   /\   |  __ \|  ____|  \/  |_   _/ ____|     /\   |  __ \_   _|
| (___ | |         /  \ | |       /  \  | |  | | |__  | \  / | | || |         /  \  | |__) || |  
 \___ \| |        / /\ \| |      / /\ \ | |  | |  __| | |\/| | | || |        / /\ \ |  ___/ | |  
 ____) | |____   / ____ \ |____ / ____ \| |__| | |____| |  | |_| || |____   / ____ \| |    _| |_ 
|_____/ \_____| /_/    \_\_____/_/    \_\_____/|______|_|  |_|_____\_____| /_/    \_\_|   |_____|

[GC (Allocation Failure) [DefNew: 14158K->688K(14848K), 0.0035940 secs] 27591K->14829K(47616K), 0.0036217 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13936K->1413K(14848K), 0.0033661 secs] 28077K->15553K(47616K), 0.0033955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14661K->549K(14848K), 0.0033598 secs] 28801K->15345K(47616K), 0.0033907 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13797K->486K(14848K), 0.0021394 secs] 28593K->15282K(47616K), 0.0021697 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13734K->575K(14848K), 0.0527456 secs] 28530K->15371K(47616K), 0.0527758 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
[GC (Allocation Failure) [DefNew: 13822K->725K(14848K), 0.0028150 secs] 28618K->15521K(47616K), 0.0028395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13973K->1300K(14848K), 0.0035620 secs] 28769K->16096K(47616K), 0.0035894 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14548K->903K(14848K), 0.0042835 secs] 29344K->16191K(47616K), 0.0043095 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2025-06-11 12:06:19.543  INFO 1 --- [           main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configmap.sc-academic-api-config.predev'}]
[GC (Allocation Failure) [DefNew: 14151K->1089K(14848K), 0.0043167 secs] 29439K->16710K(47616K), 0.0043421 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2025-06-11 12:06:19.566  INFO 1 --- [           main] sg.gov.moe.sc.academic.ScAcademicApi     : The following profiles are active: kubernetes
[GC (Allocation Failure) [DefNew: 14337K->1283K(14848K), 0.0054865 secs] 29958K->17640K(47616K), 0.0055102 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14531K->145K(14848K), 0.0024670 secs] 30888K->16743K(47616K), 0.0024901 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13393K->833K(14848K), 0.0027021 secs] 29991K->17432K(47616K), 0.0027242 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14081K->1019K(14848K), 0.0032643 secs] 30680K->17712K(47616K), 0.0032861 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14267K->1600K(14848K), 0.0054908 secs] 30960K->18754K(47616K), 0.0055169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14848K->268K(14848K), 0.0642898 secs] 32002K->18804K(47616K), 0.0643180 secs] [Times: user=0.01 sys=0.00, real=0.07 secs] 
[GC (Allocation Failure) [DefNew: 13516K->1228K(14848K), 0.0033647 secs] 32052K->19764K(47616K), 0.0033914 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14476K->567K(14848K), 0.0028093 secs] 33012K->19252K(47616K), 0.0028344 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13815K->1004K(14848K), 0.0029985 secs] 32500K->19688K(47616K), 0.0030241 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14252K->686K(14848K), 0.0035264 secs] 32936K->19793K(47616K), 0.0035519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13934K->913K(14848K), 0.0629233 secs] 33041K->20020K(47616K), 0.0629497 secs] [Times: user=0.02 sys=0.00, real=0.07 secs] 
[GC (Allocation Failure) [DefNew: 14161K->1273K(14848K), 0.0041029 secs] 33268K->20593K(47616K), 0.0041292 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14521K->1392K(14848K), 0.0048334 secs] 33841K->21190K(47616K), 0.0048629 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14640K->1599K(14848K), 0.0066177 secs] 34438K->22621K(47616K), 0.0066455 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1599K(14848K), 0.0049918 secs] 35869K->22947K(47616K), 0.0050212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1600K(14848K), 0.0050022 secs] 36195K->23365K(47616K), 0.0050281 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14848K->1599K(14848K), 0.0045557 secs] 36613K->23584K(47616K), 0.0045858 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1599K(14848K), 0.0048404 secs] 36832K->23813K(47616K), 0.0048682 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1599K(14848K), 0.0049543 secs] 37061K->24053K(47616K), 0.0049838 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1599K(14848K), 0.0064734 secs] 37301K->24367K(47616K), 0.0065012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14847K->1600K(14848K), 0.0047898 secs] 37615K->24631K(47616K), 0.0048183 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14848K->1600K(14848K), 0.0043215 secs] 37879K->24684K(47616K), 0.0043590 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14848K->1569K(14848K), 0.0042379 secs] 37932K->24678K(47616K), 0.0042614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14817K->1564K(14848K), 0.0049593 secs] 37926K->24758K(47616K), 0.0049861 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14812K->398K(14848K), 0.0029176 secs] 38006K->24258K(47616K), 0.0029406 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13646K->696K(14848K), 0.0024334 secs] 37506K->24556K(47616K), 0.0024580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13944K->1145K(14848K), 0.0033851 secs] 37804K->25005K(47616K), 0.0034157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14393K->550K(14848K), 0.0034060 secs] 38253K->24780K(47616K), 0.0034340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13798K->645K(14848K), 0.0026589 secs] 38028K->24875K(47616K), 0.0026840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13893K->895K(14848K), 0.0630183 secs] 38123K->25126K(47616K), 0.0630485 secs] [Times: user=0.02 sys=0.00, real=0.07 secs] 
[Full GC (Metadata GC Threshold) [Tenured: 24230K->20367K(32768K), 0.1054616 secs] 26451K->20367K(47616K), [Metaspace: 33882K->33882K(1081344K)], 0.1055498 secs] [Times: user=0.10 sys=0.00, real=0.10 secs] 
[GC (Allocation Failure) [DefNew: 13696K->1371K(15360K), 0.0041929 secs] 34063K->21738K(49308K), 0.0042147 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15067K->467K(15360K), 0.0022557 secs] 35434K->20859K(49308K), 0.0022790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14163K->648K(15360K), 0.0025487 secs] 34555K->21040K(49308K), 0.0025688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14344K->1542K(15360K), 0.0040714 secs] 34736K->21934K(49308K), 0.0040947 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15238K->757K(15360K), 0.0633772 secs] 35630K->21411K(49308K), 0.0634024 secs] [Times: user=0.01 sys=0.00, real=0.07 secs] 
[GC (Allocation Failure) [DefNew: 14453K->881K(15360K), 0.0027966 secs] 35107K->21535K(49308K), 0.0028188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-06-11 12:06:22.158  WARN 1 --- [           main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
[GC (Allocation Failure) [DefNew: 14577K->400K(15360K), 0.0023861 secs] 35231K->21115K(49308K), 0.0024077 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14096K->1144K(15360K), 0.0033885 secs] 34811K->21858K(49308K), 0.0034106 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14840K->1244K(15360K), 0.0044187 secs] 35554K->22284K(49308K), 0.0044414 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14940K->599K(15360K), 0.0028746 secs] 35980K->21922K(49308K), 0.0028946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14295K->894K(15360K), 0.0030060 secs] 35618K->22217K(49308K), 0.0030348 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14590K->768K(15360K), 0.0028142 secs] 35913K->22166K(49308K), 0.0028362 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14464K->1233K(15360K), 0.0035734 secs] 35862K->22632K(49308K), 0.0035969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14929K->218K(15360K), 0.0022105 secs] 36328K->21887K(49308K), 0.0022315 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 13914K->1457K(15360K), 0.0040107 secs] 35583K->23126K(49308K), 0.0040368 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15153K->629K(15360K), 0.0029460 secs] 36822K->22505K(49308K), 0.0029724 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14325K->846K(15360K), 0.0029955 secs] 36201K->22722K(49308K), 0.0030206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14542K->1473K(15360K), 0.0059337 secs] 36418K->23486K(49308K), 0.0059661 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15169K->1000K(15360K), 0.0038874 secs] 37182K->23354K(49308K), 0.0039102 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14696K->1018K(15360K), 0.0041552 secs] 37050K->23591K(49308K), 0.0041778 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14714K->995K(15360K), 0.0037086 secs] 37287K->23750K(49308K), 0.0037322 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14691K->752K(15360K), 0.0033973 secs] 37446K->23631K(49308K), 0.0034209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14448K->629K(15360K), 0.0028035 secs] 37327K->23508K(49308K), 0.0028258 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14325K->988K(15360K), 0.0534547 secs] 37204K->23868K(49308K), 0.0534815 secs] [Times: user=0.01 sys=0.00, real=0.06 secs] 
[GC (Allocation Failure) [DefNew: 14684K->865K(15360K), 0.0040282 secs] 37564K->24211K(49308K), 0.0040535 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14561K->1000K(15360K), 0.0037541 secs] 37907K->24499K(49308K), 0.0037772 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14696K->725K(15360K), 0.0034316 secs] 38195K->24440K(49308K), 0.0034563 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14421K->889K(15360K), 0.0031764 secs] 38136K->24604K(49308K), 0.0032014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14585K->712K(15360K), 0.0034785 secs] 38300K->24613K(49308K), 0.0035028 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14408K->1021K(15360K), 0.0036164 secs] 38309K->24922K(49308K), 0.0036424 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14717K->1152K(15360K), 0.0043026 secs] 38618K->25294K(49308K), 0.0043293 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14848K->657K(15360K), 0.0036560 secs] 38990K->25135K(49308K), 0.0036799 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2025-06-11 12:06:24.060  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[GC (Allocation Failure) [DefNew: 14353K->519K(15360K), 0.0025383 secs] 38831K->24996K(49308K), 0.0025631 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14215K->1099K(15360K), 0.0035434 secs] 38692K->25576K(49308K), 0.0035687 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14795K->1317K(15360K), 0.0048045 secs] 39272K->26122K(49308K), 0.0048286 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15013K->948K(15360K), 0.0039592 secs] 39818K->26052K(49308K), 0.0039809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14644K->58K(15360K), 0.0016845 secs] 39748K->25180K(49308K), 0.0017101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13754K->84K(15360K), 0.0017098 secs] 38876K->25206K(49308K), 0.0017340 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13780K->102K(15360K), 0.0017743 secs] 38902K->25224K(49308K), 0.0017994 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13798K->119K(15360K), 0.0017413 secs] 38920K->25241K(49308K), 0.0017636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13815K->214K(15360K), 0.0019573 secs] 38937K->25336K(49308K), 0.0019808 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 13910K->1596K(15360K), 0.0044115 secs] 39032K->26718K(49308K), 0.0044338 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15292K->1663K(15360K), 0.0455314 secs] 40414K->27039K(49308K), 0.0455579 secs] [Times: user=0.01 sys=0.00, real=0.05 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1664K(15360K), 0.0047692 secs] 40735K->27245K(49308K), 0.0047912 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1664K(15360K), 0.0049180 secs] 40941K->27445K(49308K), 0.0049414 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1664K(15360K), 0.0049865 secs] 41141K->27614K(49308K), 0.0050172 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1663K(15360K), 0.0051503 secs] 41310K->27813K(49308K), 0.0051760 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1663K(15360K), 0.0047140 secs] 41509K->27923K(49308K), 0.0047382 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1664K(15360K), 0.0048937 secs] 41619K->28125K(49308K), 0.0049207 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1663K(15360K), 0.0048767 secs] 41821K->28307K(49308K), 0.0049057 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1663K(15360K), 0.0052319 secs] 42003K->28503K(49308K), 0.0052627 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1664K(15360K), 0.0048105 secs] 42199K->28653K(49308K), 0.0048372 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1664K(15360K), 0.0048847 secs] 42349K->28867K(49308K), 0.0049094 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1663K(15360K), 0.0049069 secs] 42563K->29012K(49308K), 0.0049343 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1663K(15360K), 0.0048674 secs] 42708K->29185K(49308K), 0.0048957 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1663K(15360K), 0.0049246 secs] 42881K->29358K(49308K), 0.0049523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->1664K(15360K), 0.0049057 secs] 43054K->29535K(49308K), 0.0049324 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15360K->1424K(15360K), 0.0044020 secs] 43231K->29343K(49308K), 0.0044231 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 15120K->626K(15360K), 0.0027966 secs] 43039K->28605K(49308K), 0.0028194 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-06-11 12:06:25.435  INFO 1 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 1310 ms. Found 74 JPA repository interfaces.
[GC (Allocation Failure) [DefNew: 14322K->1663K(15360K), 0.0038727 secs] 42301K->29732K(49308K), 0.0038957 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 15359K->559K(15360K), 0.0048960 secs] 43428K->30017K(49308K), 0.0049192 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14255K->517K(15360K), 0.0026205 secs] 43713K->29975K(49308K), 0.0026464 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14213K->648K(15360K), 0.0029514 secs] 43671K->30106K(49308K), 0.0029745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
[GC (Allocation Failure) [DefNew: 14344K->683K(15360K), 0.0030095 secs] 43802K->30141K(49308K), 0.0030343 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14379K->1203K(15360K), 0.0036739 secs] 43837K->30661K(49308K), 0.0036980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
[GC (Allocation Failure) [DefNew: 14899K->590K(15360K), 0.0041982 secs] 44357K->30523K(49308K), 0.0042228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
